Years,Burundi,Benin,Brazil,Costa Rica,Cyprus,Haiti,Italy,Sri Lanka,Maldives,Malaysia,Nigeria
1961,61.3317757,12.78822277,18.77917814,27.32079906,43.72294372,60.23222061,70.32402842,27.47568171,16.66666667,9.388951453,58.38632146
1962,61.91588785,12.96559063,19.22269787,27.61457109,43.50649351,60.41364296,70.21862568,27.22053899,16.66666667,9.590473292,59.18069326
1963,62.46105919,13.1429585,19.6662176,27.81041911,43.83116883,60.59506531,69.73581313,32.84962526,16.66666667,9.970689393,61.50500126
1964,62.5,13.32032636,20.10973733,29.08343126,43.61471861,60.77648766,69.57260889,33.53532132,16.66666667,10.1598539,62.55264227
1965,63.23987539,13.49769422,20.55325706,30.45436741,43.50649351,60.95791001,69.49780694,34.38048158,16.66666667,10.64477249,64.85735147
1966,63.12305296,13.76374601,20.99677679,32.02115159,43.29004329,61.13933237,69.37880385,35.16185616,16.66666667,10.67761376,64.55142352
1967,64.87538941,14.11848173,21.44029653,32.04073639,43.3982684,61.32075472,69.29040155,35.95917716,16.66666667,10.87103942,63.91610396
1968,65.26479751,14.38453352,21.88381626,33.60752056,43.3982684,61.50217707,69.20879943,37.01164089,16.66666667,11.26251712,63.87117494
1969,73.87071651,15.13834693,22.32733599,35.05679593,43.18181818,61.68359942,68.77358811,37.12326583,16.66666667,11.4318673,70.06602106
1970,73.20872274,15.31571479,22.77157358,36.34939287,43.07359307,61.86502177,68.61378396,37.20299793,16.66666667,11.82471466,67.00974999
1971,73.94859813,15.75913444,23.1910449,36.95652174,42.85714286,62.04644412,60.00816021,37.29867645,20,12.04924669,65.30469822
1972,74.2211838,16.02518624,23.61051622,36.95652174,42.64069264,57.47460087,59.52874775,37.39435497,20,12.4182925,60.55315832
1973,77.88161994,16.2025541,24.02998753,40.10967489,42.66233766,57.4383164,59.44034545,37.49003349,23.33333333,12.6644042,66.20771435
1974,79.04984424,16.46860589,24.44945885,40.10967489,31.06060606,57.4383164,59.50834722,37.58571201,23.33333333,12.84879014,61.65113036
